LocationName,Latitude,Longitude,Context,Sentiment
Flint’s Pond,42.4351727,-71.3156315,"Sometimes I rambled to pine groves, standing like temples, or like fleets at sea, full-rigged, with wavy boughs, and rippling with light, so soft and green and shady that the Druids would have forsaken their oaks to worship in them; or to the cedar wood beyond Flint’s Pond, where the trees, covered with hoary blue berries, spiring higher and higher, are fit to stand before Valhalla, and the creeping juniper covers the ground with wreaths full of fruit; or to swamps where the usnea lichen hangs in festoons from the white spruce trees, and toadstools, round tables of the swamp gods, cover the ground, and more beautiful fungi adorn the stumps, like butterflies or shells, vegetable winkles; where the swamp-pink and dogwood grow, the red alderberry glows like eyes of imps, the waxwork grooves and crushes the hardest woods in its folds, and the wild holly berries make the beholder forget his home with their beauty, and he is dazzled and tempted by nameless other wild forbidden fruits, too fair for mortal taste.","Positive: 14.0%, Neutral: 82.1%, Negative: 3.9%"
Italy,41.87194,12.56738,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.","Positive: 9.7%, Neutral: 85.4%, Negative: 4.9%"
Fair Haven,33.5234997,-86.7280681,"I set out one afternoon to go a-fishing to Fair Haven, through the woods, to eke out my scanty fare of vegetables.","Positive: 10.3%, Neutral: 89.7%, Negative: 0.0%"
Pleasant Meadow,38.1713878,-84.81501469999999,"My way led through Pleasant Meadow, an adjunct of the Baker Farm, that retreat of which a poet has since sung, beginning﻿—


“Thy entry is a pleasant field,

Which some mossy fruit trees yield

Partly to a ruddy brook,

By gliding musquash undertook,

And mercurial trout,

Darting about.”


I thought of living there before I went to Walden.","Positive: 14.4%, Neutral: 85.6%, Negative: 0.0%"
America,38.7945952,-106.5348379,I had sat there many times of old before the ship was built that floated his family to America.,"Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
America,38.7945952,-106.5348379,"I tried to help him with my experience, telling him that he was one of my nearest neighbors, and that I too, who came a-fishing here, and looked like a loafer, was getting my living like himself; that I lived in a tight, light, and clean house, which hardly cost more than the annual rent of such a ruin as his commonly amounts to; and how, if he chose, he might in a month or two build himself a palace of his own; that I did not use tea, nor coffee, nor butter, nor milk, nor fresh meat, and so did not have to work to get them; again, as I did not work hard, I did not have to eat hard, and it cost me but a trifle for my food; but as he began with tea, and coffee, and butter, and milk, and beef, he had to work hard to pay for them, and when he had worked hard he had to eat hard again to repair the waste of his system﻿—and so it was as broad as it was long, indeed it was broader than it was long, for he was discontented and wasted his life into the bargain; and yet he had rated it as a gain in coming to America, that here you could get tea, and coffee, and meat every day.","Positive: 9.4%, Neutral: 83.9%, Negative: 6.7%"
America,38.7945952,-106.5348379,"But the only true America is that country where you are at liberty to pursue such a mode of life as may enable you to do without these, and where the state does not endeavor to compel you to sustain the slavery and war and other superfluous expenses which directly or indirectly result from the use of such things.","Positive: 11.2%, Neutral: 72.6%, Negative: 16.2%"
Spain,40.46366700000001,-3.74922,"There’s nothing like it in old paintings, nothing like it in foreign lands﻿—unless when we were off the coast of Spain.","Positive: 0.0%, Neutral: 81.8%, Negative: 18.2%"
Mediterranean,34.5531284,18.0480105,"That’s a true Mediterranean sky. I thought, as I have my living to get, and have not eaten today, that I might go a-fishing.","Positive: 12.8%, Neutral: 87.2%, Negative: 0.0%"
America,38.7945952,-106.5348379,"And certainly there is not the fight recorded in Concord history, at least, if in the history of America, that will bear a moment’s comparison with this, whether for the numbers engaged in it, or for the patriotism and heroism displayed.","Positive: 23.5%, Neutral: 76.5%, Negative: 0.0%"
Bunker Hill,42.3755627,-71.06447349999999,"I have no doubt that it was a principle they fought for, as much as our ancestors, and not to avoid a threepenny tax on their tea; and the results of this battle will be as important and memorable to those whom it concerns as those of the battle of Bunker Hill, at least.","Positive: 6.1%, Neutral: 72.5%, Negative: 21.4%"
Sweden,60.12816100000001,18.643501,This event happened previous to the expulsion of the tyrant Christiern the Second from Sweden.,"Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
New York,40.7127753,-74.0059728,"It is said that loons have been caught in the New York lakes eighty feet beneath the surface, with hooks set for trout﻿—though Walden is deeper than that.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Louisiana,30.5190775,-91.5208624,"For hours, in fall days, I watched the ducks cunningly tack and veer and hold the middle of the pond, far from the sportsman; tricks which they will have less need to practise in Louisiana bayous.","Positive: 0.0%, Neutral: 95.8%, Negative: 4.2%"
New England,43.9653889,-70.8226541,"The buckeye does not grow in New England, and the mockingbird is rarely heard here.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Canada,56.130366,-106.346771,"The wild goose is more of a cosmopolite than we; he breaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself for the night in a southern bayou.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Colorado,39.5500507,-105.7820674,"Even the bison, to some extent, keeps pace with the seasons cropping the pastures of the Colorado only till a greener and sweeter grass awaits him by the Yellowstone.","Positive: 4.6%, Neutral: 95.4%, Negative: 0.0%"
Tierra del Fuego,-54.21161194647284,-69.32367235500021,"If you are chosen town clerk, forsooth, you cannot go to Tierra del Fuego this summer: but you may go to the land of infernal fire nevertheless.","Positive: 0.0%, Neutral: 89.3%, Negative: 10.7%"
Africa,-8.783195,34.508523,One hastens to southern Africa to chase the giraffe; but surely that is not the game he would be after.,"Positive: 16.8%, Neutral: 83.2%, Negative: 0.0%"
Nile,23.55979236573434,32.15770737905076,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Pacific Ocean,-8.783195,-124.508523,"What was the meaning of that South-Sea Exploring Expedition, with all its parade and expense, but an indirect recognition of the fact that there are continents and seas in the moral world to which every man is an isthmus or an inlet, yet unexplored by him, but that it is easier to sail many thousand miles through cold and storm and cannibals, in a government ship, with five hundred men and boys to assist one, than it is to explore the private sea, the Atlantic and Pacific Ocean of one’s being alone.","Positive: 3.9%, Neutral: 93.5%, Negative: 2.6%"
Zanzibar,-6.165192999999999,39.1989144,"“Erret, et extremos alter scrutetur Iberos.

lus habet hic vitae, plus habet ille viae.”


Let them wander and scrutinize the outlandish Australians.

I have more of God, they more of the road.


It is not worth the while to go round the world to count the cats in Zanzibar.","Positive: 4.8%, Neutral: 91.9%, Negative: 3.3%"
England,52.3555177,-1.1743197,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.","Positive: 6.3%, Neutral: 87.1%, Negative: 6.6%"
Mississippi,32.3546679,-89.3985283,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
England,52.3555177,-1.1743197,"It is a ridiculous demand which England and America make, that you shall speak so that they can understand you.","Positive: 0.0%, Neutral: 81.0%, Negative: 19.0%"
England,52.3555177,-1.1743197,"While England endeavors to cure the potato-rot, will not any endeavor to cure the brain-rot, which prevails so much more widely and fatally?","Positive: 0.0%, Neutral: 83.1%, Negative: 16.9%"
Cambridge,52.1950788,0.1312729,"Southern customers objected to its blue color, which is the evidence of its purity, as if it were muddy, and preferred the Cambridge ice, which is white, but tastes of weeds.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
