Location,Latitude,Longitude,Context,Presence
Flint’s Pond,51.520076,-1.097111411815811,"Sometimes I rambled to pine groves, standing like temples, or like fleets at sea, full-rigged, with wavy boughs, and rippling with light, so soft and green and shady that the Druids would have forsaken their oaks to worship in them; or to the cedar wood beyond Flint’s Pond, where the trees, covered with hoary blue berries, spiring higher and higher, are fit to stand before Valhalla, and the creeping juniper covers the ground with wreaths full of fruit; or to swamps where the usnea lichen hangs in festoons from the white spruce trees, and toadstools, round tables of the swamp gods, cover the ground, and more beautiful fungi adorn the stumps, like butterflies or shells, vegetable winkles; where the swamp-pink and dogwood grow, the red alderberry glows like eyes of imps, the waxwork grooves and crushes the hardest woods in its folds, and the wild holly berries make the beholder forget his home with their beauty, and he is dazzled and tempted by nameless other wild forbidden fruits, too fair for mortal taste.",Likely physically present (positive sentiment)
Flint’s Pond,51.520076,-1.097111411815811,"It commonly opens about the first of April, a week or ten days later than Flint’s Pond and Fair Haven, beginning to melt on the north side and in the shallower parts where it began to freeze.",Unclear
Flint’s Pond,51.520076,-1.097111411815811,"A thermometer thrust into the middle of Walden on the 6th of March, 1847, stood at 32°, or freezing point; near the shore at 33°; in the middle of Flint’s Pond, the same day, at 32½°; at a dozen rods from the shore, in shallow water, under ice a foot thick, at 36°.",Unclear
Flint’s Pond,51.520076,-1.097111411815811,"
I have said that Walden has no visible inlet nor outlet, but it is on the one hand distantly and indirectly related to Flint’s Pond, which is more elevated, by a chain of small ponds coming from that quarter, and on the other directly and manifestly to Concord River, which is lower, by a similar chain of ponds through which in some other geological period it may have flowed, and by a little digging, which God forbid, it can be made to flow thither again.",Unclear
Flint’s Pond,51.520076,-1.097111411815811,"If by living thus reserved and austere, like a hermit in the woods, so long, it has acquired such wonderful purity, who would not regret that the comparatively impure waters of Flint’s Pond should be mingled with it, or itself should ever go to waste its sweetness in the ocean wave?",Likely physically present (positive sentiment)
Flint’s Pond,51.520076,-1.097111411815811,"
Flint’s Pond!",Unclear
Flint’s Pond,51.520076,-1.097111411815811,"When I crossed Flint’s Pond, after it was covered with snow, though I had often paddled about and skated over it, it was so unexpectedly wide and so strange that I could think of nothing but Baffin’s Bay.",Unclear
St.,0.9713095,7.02255,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.",Unclear
St.,0.9713095,7.02255,"It is said that a flood-tide, with a westerly wind, and ice in the Neva, would sweep St. Petersburg from the face of the earth.",Unclear
St.,0.9713095,7.02255,Napoleon went to St. Helena; Quoil came to Walden Woods.,Unclear
Italy,42.6384261,12.674297,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.",Unclear
France,46.603354,1.8883335,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.",Unclear
France,46.603354,1.8883335,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",Unclear
Fair Haven,40.3606653,-74.0381947,"I set out one afternoon to go a-fishing to Fair Haven, through the woods, to eke out my scanty fare of vegetables.",Unclear
Fair Haven,40.3606653,-74.0381947,"Night after night the geese came lumbering in the dark with a clangor and a whistling of wings, even after the ground was covered with snow, some to alight in Walden, and some flying low over the woods toward Fair Haven, bound for Mexico.",Unclear
Fair Haven,40.3606653,-74.0381947,"It commonly opens about the first of April, a week or ten days later than Flint’s Pond and Fair Haven, beginning to melt on the north side and in the shallower parts where it began to freeze.",Unclear
Fair Haven,40.3606653,-74.0381947,"I have sometimes disturbed a fish hawk sitting on a white pine over the water; but I doubt if it is ever profaned by the wind of a gull, like Fair Haven.",Unclear
Fair Haven,40.3606653,-74.0381947,"Goose Pond, of small extent, is on my way to Flint’s; Fair Haven, an expansion of Concord River, said to contain some seventy acres, is a mile southwest; and White Pond, of about forty acres, is a mile and a half beyond Fair Haven.",Likely physically present (positive sentiment)
Fair Haven,40.3606653,-74.0381947,"Goose Pond, of small extent, is on my way to Flint’s; Fair Haven, an expansion of Concord River, said to contain some seventy acres, is a mile southwest; and White Pond, of about forty acres, is a mile and a half beyond Fair Haven.",Likely physically present (positive sentiment)
Fair Haven,40.3606653,-74.0381947,"They passed over the pond toward Fair Haven, seemingly deterred from settling by my light, their commodore honking all the while with a regular beat.",Unclear
Fair Haven,40.3606653,-74.0381947,"Late in the afternoon, as he was resting in the thick woods south of Walden, he heard the voice of the hounds far over toward Fair Haven still pursuing the fox; and on they came, their hounding cry which made all the woods ring sounding nearer and nearer, now from Well Meadow, now from the Baker Farm.",Unclear
Pleasant Meadow,42.544784449999995,-83.23456590606426,"My way led through Pleasant Meadow, an adjunct of the Baker Farm, that retreat of which a poet has since sung, beginning﻿—


“Thy entry is a pleasant field,

Which some mossy fruit trees yield

Partly to a ruddy brook,

By gliding musquash undertook,

And mercurial trout,

Darting about.”


I thought of living there before I went to Walden.",Mentally present
Walden,41.5612048,-74.1884806,"My way led through Pleasant Meadow, an adjunct of the Baker Farm, that retreat of which a poet has since sung, beginning﻿—


“Thy entry is a pleasant field,

Which some mossy fruit trees yield

Partly to a ruddy brook,

By gliding musquash undertook,

And mercurial trout,

Darting about.”


I thought of living there before I went to Walden.",Mentally present
Walden,41.5612048,-74.1884806,"Like the wasps, before I finally went into winter quarters in November, I used to resort to the northeast side of Walden, which the sun, reflected from the pitch pine woods and the stony shore, made the fireside of the pond; it is so much pleasanter and wholesomer to be warmed by the sun while you can be, than by an artificial fire.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"Night after night the geese came lumbering in the dark with a clangor and a whistling of wings, even after the ground was covered with snow, some to alight in Walden, and some flying low over the woods toward Fair Haven, bound for Mexico.",Unclear
Walden,41.5612048,-74.1884806,"In 1845 Walden froze entirely over for the first time on the night of the 22nd of December, Flint’s and other shallower ponds and the river having been frozen ten days or more; in ’46, the 16th; in ’49, about the 31st; and in ’50, about the 27th of December; in ’52, the 5th of January; in ’53, the 31st of December.",Unclear
Walden,41.5612048,-74.1884806,"In the meanwhile all the shore rang with the trump of bullfrogs, the sturdy spirits of ancient wine-bibbers and wassailers, still unrepentant, trying to sing a catch in their Stygian lake﻿—if the Walden nymphs will pardon the comparison, for though there are almost no weeds, there are frogs there﻿—who would fain keep up the hilarious rules of their old festal tables, though their voices have waxed hoarse and solemnly grave, mocking at mirth, and the wine has lost its flavor, and become only liquor to distend their paunches, and sweet intoxication never comes to drown the memory of the past, but mere saturation and waterloggedness and distention.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"But such was not the effect on Walden that year, for she had soon got a thick new garment to take the place of the old.",Unclear
Walden,41.5612048,-74.1884806,"A severe cold of a few days’ duration in March may very much retard the opening of the former ponds, while the temperature of Walden increases almost uninterruptedly.",Unclear
Walden,41.5612048,-74.1884806,"A thermometer thrust into the middle of Walden on the 6th of March, 1847, stood at 32°, or freezing point; near the shore at 33°; in the middle of Flint’s Pond, the same day, at 32½°; at a dozen rods from the shore, in shallow water, under ice a foot thick, at 36°.",Unclear
Walden,41.5612048,-74.1884806,"When a warm rain in the middle of the winter melts off the snow-ice from Walden, and leaves a hard dark or transparent ice on the middle, there will be a strip of rotten though thicker white ice, a rod or more wide, about the shores, created by this reflected heat.",Unclear
Walden,41.5612048,-74.1884806,"In 1845 Walden was first completely open on the 1st of April; in ’46, the 25th of March; in ’47, the 8th of April; in ’51, the 28th of March; in ’52, the 18th of April; in ’53, the 23rd of March; in ’54, about the 7th of April.",Unclear
Walden,41.5612048,-74.1884806,Walden is melting apace.,Unclear
Walden,41.5612048,-74.1884806,"In the morning I watched the geese from the door through the mist, sailing in the middle of the pond, fifty rods off, so large and tumultuous that Walden appeared like an artificial pond for their amusement.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"I finally left Walden September 6th, 1847.",Unclear
Walden,41.5612048,-74.1884806,"
Ah, the pickerel of Walden!",Unclear
Walden,41.5612048,-74.1884806,"They are not green like the pines, nor gray like the stones, nor blue like the sky; but they have, to my eyes, if possible, yet rarer colors, like flowers and precious stones, as if they were the pearls, the animalized nuclei or crystals of the Walden water.",Unclear
Walden,41.5612048,-74.1884806,"They, of course, are Walden all over and all through; are themselves small Waldens in the animal kingdom, Waldenses.",Unclear
Walden,41.5612048,-74.1884806,"It is surprising that they are caught here﻿—that in this deep and capacious spring, far beneath the rattling teams and chaises and tinkling sleighs that travel the Walden road, this great gold and emerald fish swims.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"But if, using the shortest diameter of Loch Fyne, we apply these proportions to Walden, which, as we have seen, appears already in a vertical section only like a shallow plate, it will appear four times as shallow.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"Like the water, the Walden ice, seen near at hand, has a green tint, but at a distance is beautifully blue, and you can easily tell it from the white ice of the river, or the merely greenish ice of some ponds, a quarter of a mile off.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"I have noticed that a portion of Walden which in the state of water was green will often, when frozen, appear from the same point of view blue.",Unclear
