Location,Latitude,Longitude,Context
St.,0.9713095,7.02255,ch he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shad
Italy,42.6384261,12.674297,"is head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous wh"
France,46.603354,1.8883335,"t morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the gra"
Fair Haven,40.3606653,-74.0381947," all?

I set out one afternoon to go a-fishing to Fair Haven, through the woods, to eke out my scanty fare of "
Walden,41.5612048,-74.1884806,"ut.”


I thought of living there before I went to Walden. I “hooked” the apples, leaped the brook, and sca"
America,39.7837304,-100.445882,"ore the ship was built that floated his family to America. An honest, hardworking, but shiftless man plainl"
Spain,39.3260685,-4.8379791,"reign lands﻿—unless when we were off the coast of Spain. That’s a true Mediterranean sky. I thought, as I"
Concord,43.207178,-71.537476,"Hermit. Well, then, let’s be off. Shall we to the Concord? There’s good sport there if the water be not too"
Achilles,37.2801422,-76.4402257,"h his shield or upon it. Or perchance he was some Achilles, who had nourished his wrath apart, and had now c"
red﻿—he,34.724524849999995,-98.29435486282935,—for the blacks were nearly twice the size of the red﻿—he drew near with rapid pace till he stood on his gu
Dresden,51.0493286,13.7381437,"r numbers and for carnage it was an Austerlitz or Dresden. Concord Fight! Two killed on the patriots’ side,"
Spence,-35.1987316,149.0643556,"nage, of a human battle before my door.
Kirby and Spence tell us that the battles of ants have long been c"
Sweden,59.6749712,14.5208584,xpulsion of the tyrant Christiern the Second from Sweden. The battle which I witnessed took place in the P
New York,40.7127281,-74.0060152,"rt. It is said that loons have been caught in the New York lakes eighty feet beneath the surface, with hooks"
Louisiana,30.8703881,-92.007126,cks which they will have less need to practise in Louisiana bayous. When compelled to rise they would sometim
Forest,41.5329762,-79.2640912,"chive.
The cover page is adapted from
Mill in the Forest,
			a painting completed in 1897 by
Ivan Ivanovic"
Canada,61.0666922,-107.991707,"e of a cosmopolite than we; he breaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself"
Ohio,40.2253569,-82.6881395,"reaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself for the night in a southern b"
Colorado,38.7251776,-105.607716,ace with the seasons cropping the pastures of the Colorado only till a greener and sweeter grass awaits him 
Yellowstone,45.9645464,-108.276076,ill a greener and sweeter grass awaits him by the Yellowstone. Yet we think that if rail fences are pulled down
Columbus,39.9622601,-83.0007065,"meats invented to preserve meat merely? Nay, be a Columbus to whole new continents and worlds within you, op"
England,52.5310214,-1.2649062,"mes’ Hole” by which to get at the inside at last. England and France, Spain and Portugal, Gold Coast and Sl"
Portugal,39.6621648,-8.1353519,"the inside at last. England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this pr"
India,22.3511148,78.6677428,"and, though it is without doubt the direct way to India. If you would learn to speak all tongues and conf"
China,35.0000663,104.999955,"ppi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this "
Japan,36.5748441,139.2394179,"e Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, s"
Kabir,54.3151594,-1.9181532111487878,"h. “They pretend,” as I hear, “that the verses of Kabir have four different senses; illusion, spirit, int"
Cambridge,52.2055314,0.1186637,"ts purity, as if it were muddy, and preferred the Cambridge ice, which is white, but tastes of weeds. The pur"
Brahma,-22.4969614,-48.93442228238074,"d artist into the fairest of all the creations of Brahma. He had made a new system in making a staff, a wo"
California,36.7014631,-118.755997,"oose still, dress it as you will. They tell me of California and Texas, of England and the Indies, of the Hon."
Texas,31.2638905,-98.5456116,"ss it as you will. They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿—"
Georgia,32.3293809,-83.1137366," England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting p"
Massachusetts,42.3788774,-72.032366,"he Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am "
Mameluke,38.9140667,-120.841324, I am ready to leap from their courtyard like the Mameluke bey. I delight to come to my bearings﻿—not walk i
Boston,42.3554334,-71.060511," on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its lo"
London,51.5074456,-0.1277653,"he last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent,"
Paris,48.8588897,2.3200410217200766,"an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks"
Rome,41.8933203,12.4829321,"ious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its p"
Benefactor,51.6587785,17.8478402,"heering information, I am reminded of the greater Benefactor and Intelligence that stands over me the human in"
the British Empire,48.6549834,-123.43968,"t we can change our clothes only. It is said that the British Empire is very large and respectable, and that the Unite"
the United States,47.828787466909134,-122.59894783123687,"sh Empire is very large and respectable, and that the United States are a first-rate power. We do not believe that a "
Britain,54.3151594,-1.9181532111487878," the world I live in was not framed, like that of Britain, in after-dinner conversations over the wine.
The"
Connecticut,41.6500201,-72.7342163,"d in a farmer’s kitchen for sixty years, first in Connecticut, and afterward in Massachusetts﻿—from an egg depo"
Hercules,38.0171441,-122.2885808,cenes which I daily witness. The twelve labors of Hercules were trifling in comparison with those which my n
North and South,43.0612749,-89.4959479,so many keen and subtle masters that enslave both North and South. It is hard to have a Southern overseer; it is wo
Salem,44.9391565,-123.033121,"n some small counting house on the coast, in some Salem harbor, will be fixture enough. You will export s"
Jersey,49.2214561,-2.1358386,"ten the richest freight will be discharged upon a Jersey shore;﻿—to be your own telegraph, unweariedly swe"
Hanno,35.8556902,139.3276436,"navigators, great adventurers and merchants, from Hanno and the Phoenicians down to our day; in fine, acc"
Neva,59.93661073505927,30.29517423637298," flood-tide, with a westerly wind, and ice in the Neva, would sweep St. Petersburg from the face of the "
St. Petersburg,59.9606739,30.1586551,"a westerly wind, and ice in the Neva, would sweep St. Petersburg from the face of the earth.

As this business was"
Asiatic,14.423147413416466,120.92712291552265,"world, from east to west, had got so near home as Asiatic Russia, she says that she felt the necessity of w"
Russia,64.6863136,97.7453061,"rom east to west, had got so near home as Asiatic Russia, she says that she felt the necessity of wearing "
Fates,43.944793700000005,18.798520796242453,"s if she quoted an authority as impersonal as the Fates, and I find it difficult to get made what I want,"
Israel,31.39480005,34.63358319049945,"not have occasion any more to use this proverb in Israel.”
“Behold all souls are mine; as the soul of the "
Ireland,52.865196,-7.9794599,"t workhouse of the world. Or I could refer you to Ireland, which is marked as one of the white or enlighten"
Memnon,59.3237989,18.0673964,"g work! By the blushes of Aurora and the music of Memnon, what should be man’s morning work in this world?"
the Province of New Netherland,,,
New Netherland,42.875403382232356,-73.75415319081665,"nd there, states more particularly that “those in New Netherland, and especially in New England, who have no means"
